Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,relatives,not_alone,Deck,Title,Age_Class,Fare_Per_Person
0,3,0,2,1,0,0,0,1,0,8,1,6,0
1,1,1,5,1,0,3,1,1,0,3,3,5,1
1,3,1,3,0,0,0,0,0,1,8,2,9,0
1,1,1,5,1,0,3,0,1,0,3,3,5,1
0,3,0,5,0,0,1,0,0,1,8,1,15,1
0,3,0,5,0,0,1,2,0,1,8,1,15,1
0,1,0,6,0,0,3,0,0,1,5,1,6,3
0,3,0,0,3,1,2,0,4,0,8,4,0,0
1,3,1,3,0,2,1,0,2,0,8,3,9,0
1,2,1,1,1,0,2,1,1,0,8,3,2,1
1,3,1,0,1,1,2,0,2,0,7,2,0,0
1,1,1,6,0,0,2,0,0,1,3,2,6,2
0,3,0,2,0,0,1,0,0,1,8,1,6,1
0,3,0,5,1,5,2,0,6,0,8,1,15,0
0,3,1,1,0,0,0,0,0,1,8,2,3,0
1,2,1,6,0,0,2,0,0,1,8,3,12,2
0,3,0,0,4,1,2,2,5,0,8,4,0,0
1,2,0,2,0,0,1,0,0,1,8,1,4,1
0,3,1,4,1,0,2,0,1,0,8,3,12,1
1,3,1,4,0,0,0,1,0,1,8,3,12,0
0,2,0,5,0,0,2,0,0,1,8,1,10,2
1,2,0,5,0,0,1,0,0,1,4,1,10,1
1,3,1,1,0,0,1,2,0,1,8,2,3,1
1,1,0,4,0,0,3,0,0,1,1,1,4,3
0,3,1,0,3,1,2,0,4,0,8,2,0,0
1,3,1,5,1,5,2,0,6,0,8,3,15,0
0,3,0,2,0,0,0,1,0,1,8,1,6,0
0,1,0,2,3,2,5,0,5,0,3,1,2,0
1,3,1,5,0,0,0,2,0,1,8,2,15,0
0,3,0,1,0,0,0,0,0,1,8,1,3,0
0,1,0,5,0,0,2,1,0,1,8,5,5,2
1,1,1,2,1,0,4,1,1,0,2,3,2,2
1,3,1,1,0,0,0,2,0,1,8,2,3,0
0,2,0,6,0,0,1,0,0,1,8,1,12,1
0,1,0,4,1,0,3,1,1,0,8,1,4,1
0,1,0,6,1,0,3,0,1,0,8,1,6,1
1,3,0,6,0,0,0,1,0,1,8,1,18,0
0,3,0,2,0,0,1,0,0,1,8,1,6,1
0,3,1,1,2,0,2,0,2,0,8,2,3,0
1,3,1,1,1,0,1,1,1,0,8,2,3,0
0,3,1,5,1,0,1,0,1,0,8,3,15,0
0,2,1,3,1,0,2,0,1,0,8,3,6,1
0,3,0,4,0,0,0,1,0,1,8,1,12,0
1,2,1,0,1,2,3,1,3,0,8,2,0,0
1,3,1,2,0,0,0,2,0,1,8,2,6,0
0,3,0,3,0,0,1,0,0,1,8,1,9,1
0,3,0,1,1,0,2,2,1,0,8,1,3,1
1,3,1,5,0,0,0,2,0,1,8,2,15,0
0,3,0,5,2,0,2,1,2,0,8,1,15,0
0,3,1,1,1,0,2,0,1,0,8,3,3,1
0,3,0,0,4,1,3,0,5,0,8,4,0,0
0,3,0,2,0,0,0,0,0,1,8,1,6,0
1,1,1,6,1,0,3,1,1,0,4,3,6,1
1,2,1,4,1,0,2,0,1,0,8,3,8,1
0,1,0,6,0,1,3,1,1,0,2,1,6,1
1,1,0,3,0,0,3,0,0,1,3,1,3,3
1,2,1,2,0,0,1,0,0,1,8,2,4,1
0,3,0,4,0,0,0,1,0,1,8,1,12,0
1,2,1,0,1,2,2,0,3,0,8,2,0,0
0,3,0,0,5,2,3,0,7,0,8,4,0,0
0,3,0,2,0,0,0,1,0,1,8,1,6,0
1,1,1,5,0,0,3,0,0,1,2,2,5,3
0,1,0,6,1,0,3,0,1,0,3,1,6,1
0,3,0,0,3,2,2,0,5,0,8,4,0,0
0,1,0,6,0,0,2,1,0,1,8,1,6,2
1,3,0,5,1,1,2,1,2,0,8,4,15,0
1,2,1,4,0,0,1,0,0,1,6,3,8,1
0,3,0,2,0,0,1,0,0,1,8,1,6,1
1,3,1,1,4,2,0,0,6,0,8,2,3,0
0,3,0,3,2,0,1,0,2,0,8,1,9,0
0,2,0,4,0,0,1,0,0,1,8,1,8,1
0,3,1,1,5,2,3,0,7,0,8,2,3,0
0,2,0,2,0,0,3,0,0,1,8,1,4,3
0,3,0,3,1,0,1,1,1,0,8,1,9,0
1,3,0,4,0,0,3,0,0,1,8,1,12,3
0,3,0,3,0,0,0,0,0,1,6,1,9,0
0,3,0,4,0,0,0,0,0,1,8,1,12,0
0,3,0,5,0,0,1,0,0,1,8,1,15,1
1,2,0,0,0,2,2,0,2,0,8,4,0,0
1,3,1,4,0,0,1,0,0,1,8,2,12,1
0,3,0,2,0,0,1,0,0,1,8,1,6,1
1,3,0,4,0,0,1,0,0,1,8,1,12,1
1,3,1,4,0,0,0,2,0,1,8,2,12,0
0,1,0,4,0,0,3,0,0,1,8,1,4,3
1,2,1,1,0,0,1,0,0,1,8,2,2,1
1,3,1,4,3,0,2,0,3,0,8,3,12,0
0,3,0,1,1,3,3,0,4,0,8,1,3,0
0,3,0,1,0,0,1,0,0,1,8,1,3,1
1,1,1,3,3,2,5,0,5,0,3,2,3,0
0,3,0,3,0,0,1,0,0,1,8,1,9,1
0,3,0,4,0,0,1,0,0,1,8,1,12,1
0,3,0,2,0,0,0,0,0,1,8,1,6,0
0,1,0,6,1,0,3,0,1,0,5,1,6,1
0,3,0,3,1,2,2,0,3,0,8,1,9,0
0,3,0,6,0,0,0,0,0,1,8,1,18,0
0,3,0,5,0,0,1,0,0,1,8,1,15,1
0,1,0,6,0,0,3,1,0,1,1,1,6,3
1,1,0,3,0,1,3,1,1,0,4,1,3,1
1,2,1,5,0,1,2,0,1,0,8,3,10,1
0,2,0,5,1,0,2,0,1,0,8,1,10,1
0,3,1,4,0,0,0,0,0,1,8,2,12,0
0,3,0,5,0,0,0,0,0,1,8,1,15,0
0,1,0,2,0,1,3,0,1,0,4,1,2,1
0,3,0,4,0,0,1,0,0,1,8,1,12,1
0,3,0,5,2,0,0,0,2,0,8,1,15,0
0,3,0,4,0,0,0,0,0,1,8,1,12,0
1,3,1,2,0,0,0,0,0,1,8,2,6,0
1,3,0,1,0,0,0,0,0,1,8,1,3,0
0,3,0,5,0,0,0,0,0,1,8,1,15,0
1,3,1,1,1,0,2,2,1,0,8,2,3,1
0,1,0,6,0,0,3,0,0,1,3,1,6,3
0,3,1,1,1,0,1,1,1,0,8,2,3,0
0,3,0,2,0,0,1,0,0,1,8,1,6,1
0,3,1,2,1,0,1,0,1,0,8,2,6,0
0,3,1,1,0,0,1,1,0,1,8,2,3,1
0,3,0,2,0,0,0,0,0,1,8,1,6,0
0,3,0,6,0,0,0,2,0,1,8,1,18,0
0,2,0,4,1,0,2,0,1,0,8,1,8,1
0,1,0,3,0,1,4,1,1,0,2,1,3,2
0,3,1,0,4,2,2,0,6,0,8,2,0,0
0,2,0,2,2,0,3,0,2,0,8,1,4,1
0,3,0,1,0,0,1,0,0,1,8,1,3,1
0,2,0,4,1,0,2,1,1,0,8,1,8,1
1,2,1,4,0,0,1,0,0,1,5,2,8,1
0,1,0,6,0,1,3,0,1,0,4,1,6,1
1,3,0,1,1,0,1,1,1,0,8,4,3,0
0,3,0,1,0,0,0,2,0,1,8,1,3,0
1,3,0,3,0,0,0,0,0,1,8,1,9,0
1,3,1,6,1,1,2,1,2,0,6,2,18,0
0,3,0,6,0,0,0,0,0,1,8,1,18,0
0,3,0,4,0,0,0,1,0,1,8,1,12,0
0,3,0,2,0,0,0,0,0,1,8,1,6,0
0,3,1,6,1,0,1,0,1,0,8,3,18,0
1,2,1,4,1,0,2,0,1,0,8,3,8,1
0,2,0,3,0,0,1,0,0,1,8,1,6,1
0,2,0,3,0,0,2,1,0,1,8,1,6,2
1,1,1,2,0,2,2,0,2,0,4,2,2,0
0,1,0,5,1,0,3,0,1,0,3,1,5,1
0,3,0,1,0,0,1,0,0,1,8,1,3,1
0,1,0,3,0,0,3,1,0,1,2,1,3,3
0,3,1,3,0,2,2,1,2,0,8,3,9,0
1,3,1,2,0,0,0,0,0,1,8,2,6,0
1,3,1,3,1,0,2,0,1,0,8,3,9,1
0,3,0,2,0,0,0,2,0,1,8,1,6,0
0,2,0,1,0,0,1,0,0,1,8,1,2,1
0,2,0,2,1,1,3,0,2,0,8,1,4,1
1,3,0,3,0,0,0,0,0,1,8,1,9,0
0,3,1,0,2,2,3,0,4,0,8,2,0,0
0,2,0,5,0,2,2,0,2,0,6,1,10,0
0,2,0,6,0,0,1,0,0,1,8,5,12,1
0,2,0,6,0,0,1,0,0,1,8,5,12,1
1,1,1,2,1,0,3,0,1,0,3,3,2,1
0,3,0,6,0,0,1,0,0,1,8,1,18,1
0,3,0,5,0,2,1,0,2,0,8,1,15,0
0,3,0,3,0,0,0,0,0,1,8,1,9,0
0,1,0,6,0,1,3,1,1,0,8,1,6,1
1,3,1,1,0,0,0,2,0,1,8,2,3,0
0,3,0,4,0,0,1,0,0,1,8,1,12,1
0,3,0,3,0,0,1,0,0,1,8,1,9,1
0,3,0,6,8,2,3,0,10,0,8,4,18,0
0,3,0,6,0,1,2,0,1,0,8,1,18,1
1,2,1,5,0,0,2,0,0,1,8,3,10,2
0,3,0,3,0,0,0,0,0,1,8,1,9,0
0,3,0,1,0,0,1,0,0,1,8,1,3,1
0,3,0,0,4,1,3,0,5,0,8,4,0,0
1,3,0,0,0,2,2,0,2,0,8,4,0,0
1,1,1,2,0,1,3,0,1,0,5,3,2,1
0,3,1,6,1,4,2,0,5,0,8,3,18,0
0,1,0,5,0,0,2,0,0,1,8,1,5,2
0,3,0,4,0,0,3,0,0,1,8,1,12,3
0,1,0,6,0,0,3,0,0,1,2,1,6,3
0,3,0,0,4,1,2,2,5,0,8,4,0,0
1,3,1,0,1,1,1,0,2,0,8,2,0,0
0,3,0,2,0,0,0,0,0,1,8,1,6,0
0,1,0,6,0,0,2,1,0,1,1,1,6,2
0,3,0,1,1,1,0,0,2,0,8,1,3,0
0,3,0,6,3,1,2,0,4,0,8,4,18,0
0,1,1,6,0,0,2,1,0,1,3,2,6,2
0,2,0,4,0,0,1,0,0,1,8,1,8,1
0,3,0,5,0,0,0,0,0,1,8,1,15,0
0,3,1,5,8,2,3,0,10,0,8,2,15,0
0,2,0,1,0,0,2,1,0,1,8,1,2,2
0,3,0,0,4,2,2,0,6,0,8,4,0,0
1,2,0,0,2,1,3,0,3,0,6,4,0,0
1,3,1,0,0,2,2,0,2,0,8,2,0,0
0,1,0,4,0,0,3,0,0,1,1,1,4,3
1,3,1,3,1,0,2,2,1,0,8,3,9,1
1,1,0,6,0,0,2,0,0,1,8,1,6,2
0,3,0,5,1,1,2,2,2,0,8,1,15,0
0,3,0,5,0,0,0,0,0,1,8,1,15,0
1,2,1,4,0,0,1,0,0,1,8,3,8,1
0,2,0,2,0,0,1,0,0,1,8,1,4,1
1,3,1,2,1,0,0,0,1,0,8,2,6,0
1,2,0,0,1,1,2,0,2,0,6,4,0,0
1,1,1,6,0,0,2,1,0,1,2,3,6,2
1,1,1,6,0,0,4,1,0,1,2,2,6,4
0,3,0,3,0,0,0,2,0,1,8,1,9,0
0,3,0,6,0,1,1,0,1,0,8,1,18,0
1,3,1,1,0,0,0,2,0,1,8,2,3,0
0,2,1,3,0,0,1,0,0,1,8,2,6,1
0,3,0,4,0,0,1,0,0,1,8,1,12,1
0,3,0,2,8,2,3,0,10,0,8,1,6,0
0,3,0,5,0,0,0,0,0,1,8,1,15,0
0,3,0,6,0,0,0,1,0,1,8,1,18,0
1,3,0,1,0,0,1,0,0,1,8,1,3,1
0,3,1,0,0,1,1,0,1,0,7,2,0,0
0,3,0,4,1,0,2,0,1,0,8,1,12,1
1,3,0,3,0,0,2,1,0,1,8,1,9,2
1,3,1,1,0,0,0,2,0,1,8,2,3,0
1,1,0,5,0,0,2,1,0,1,1,1,5,2
0,3,0,3,0,0,0,0,0,1,8,1,9,0
1,2,1,5,0,0,2,0,0,1,8,2,10,2
0,3,0,2,0,0,0,0,0,1,8,1,6,0
0,2,0,4,0,0,1,0,0,1,8,1,8,1
0,3,0,4,1,0,0,2,1,0,8,1,12,0
1,1,1,4,1,0,4,1,1,0,4,2,4,2
1,3,1,3,0,0,0,0,0,1,8,2,9,0
0,2,0,6,1,0,2,0,1,0,8,1,12,1
1,1,1,4,0,0,3,1,0,1,4,2,4,3
0,2,0,4,0,0,1,0,0,1,8,1,8,1
1,3,0,1,0,0,1,0,0,1,8,1,3,1
0,2,0,3,0,0,1,0,0,1,8,1,6,1
0,3,0,6,0,0,1,0,0,1,8,1,18,1
0,3,0,3,0,0,0,0,0,1,8,1,9,0
1,1,0,5,1,0,3,0,1,0,3,1,5,1
0,3,0,2,0,0,1,0,0,1,8,1,6,1
1,2,0,2,0,0,1,0,0,1,8,1,4,1
0,3,0,2,0,0,0,0,0,1,8,1,6,0
0,2,0,1,0,0,1,0,0,1,8,1,2,1
0,3,1,1,3,1,2,0,4,0,8,2,3,0
1,1,1,5,1,0,3,0,1,0,3,3,5,1
0,3,0,4,0,0,0,0,0,1,8,1,12,0
0,2,0,6,0,0,1,0,0,1,8,1,12,1
1,3,1,0,4,2,2,0,6,0,8,2,0,0
0,2,0,3,0,0,1,0,0,1,8,1,6,1
0,3,1,3,0,0,0,0,0,1,8,2,9,0
0,2,0,6,1,0,2,0,1,0,8,1,12,1
1,2,1,0,0,2,2,0,2,0,8,2,0,0
0,2,0,2,0,0,1,0,0,1,8,1,4,1
0,2,0,4,0,0,1,0,0,1,8,1,8,1
0,3,1,3,1,0,1,1,1,0,8,2,9,0
1,3,1,4,1,0,2,2,1,0,8,2,12,1
0,2,0,4,0,0,1,0,0,1,8,1,8,1
0,3,0,2,0,0,0,0,0,1,8,1,6,0
0,3,0,4,0,0,0,1,0,1,8,1,12,0
0,1,0,6,2,0,3,2,2,0,3,5,6,1
0,3,1,3,0,0,0,0,0,1,8,2,9,0
1,2,1,3,0,2,1,0,2,0,8,3,6,0
1,1,0,5,1,1,3,0,2,0,4,1,5,1
0,2,0,6,1,0,2,0,1,0,8,5,12,1
0,3,0,1,0,0,0,0,0,1,8,1,3,0
0,3,1,4,1,1,1,0,2,0,7,3,12,0
0,1,0,6,0,0,2,0,0,1,3,1,6,2
0,3,0,4,1,0,2,0,1,0,8,1,12,1
0,3,1,6,0,2,2,0,2,0,8,3,18,0
1,3,1,4,0,2,2,1,2,0,8,3,12,0
1,1,1,5,0,0,3,1,0,1,8,3,5,3
1,1,1,4,0,0,3,0,0,1,2,2,4,3
1,1,1,5,0,0,5,1,0,1,8,2,5,5
1,2,1,6,0,1,2,0,1,0,8,3,12,1
0,3,0,3,0,0,0,2,0,1,8,1,9,0
1,3,0,0,4,2,2,0,6,0,8,4,0,0
0,1,0,6,1,1,3,0,2,0,5,1,6,1
0,1,0,5,0,0,0,0,0,1,2,1,5,0
0,3,1,1,0,0,0,2,0,1,8,2,3,0
0,2,0,5,0,0,1,0,0,1,8,1,10,1
0,3,0,1,4,1,3,0,5,0,8,1,3,0
1,3,0,3,1,0,0,0,1,0,8,1,9,0
1,1,1,6,0,1,4,0,1,0,3,3,6,2
1,1,1,5,0,0,4,0,0,1,3,2,5,4
0,1,0,3,0,0,2,0,0,1,8,1,3,2
1,3,0,3,0,0,0,0,0,1,8,1,9,0
1,2,1,6,0,1,2,0,1,0,8,3,12,1
0,1,0,5,0,1,2,1,1,0,3,1,5,1
1,3,1,1,0,0,0,2,0,1,8,2,3,0
1,1,1,6,1,0,3,0,1,0,4,2,6,1
0,3,1,6,0,0,0,0,0,1,8,2,18,0
0,2,0,3,0,0,0,0,0,1,8,1,6,0
0,3,0,0,4,1,2,2,5,0,8,4,0,0
1,3,1,5,1,1,2,0,2,0,8,3,15,0
0,3,0,6,0,0,0,2,0,1,8,1,18,0
0,3,0,4,0,0,0,0,0,1,8,1,12,0
0,3,0,1,0,0,1,0,0,1,8,1,3,1
1,3,0,2,0,0,1,0,0,1,8,1,6,1
0,1,0,2,0,0,2,0,0,1,1,1,2,2
0,3,0,4,0,0,1,1,0,1,8,1,12,1
1,3,0,4,0,0,1,0,0,1,8,1,12,1
0,3,0,2,0,0,0,0,0,1,8,1,6,0
1,2,0,6,0,0,1,0,0,1,8,1,12,1
1,3,1,2,0,0,0,2,0,1,8,2,6,0
1,1,1,3,0,0,3,0,0,1,8,2,3,3
1,1,1,2,1,0,3,1,1,0,2,3,2,1
0,2,0,5,0,0,1,1,0,1,4,1,10,1
0,3,1,3,0,0,1,0,0,1,8,2,9,1
0,3,0,3,0,0,0,0,0,1,8,1,9,0
0,1,0,1,0,0,2,1,0,1,8,1,1,2
0,3,0,3,0,0,0,1,0,1,8,1,9,0
0,1,1,0,1,2,4,0,3,0,3,2,0,1
1,1,0,4,0,0,2,0,0,1,3,1,4,2
1,1,1,6,0,1,4,1,1,0,2,3,6,2
1,3,1,4,0,0,0,2,0,1,8,2,12,0
1,3,0,4,2,0,2,2,2,0,8,1,12,0
0,3,0,2,0,0,0,0,0,1,8,1,6,0
1,2,1,3,0,0,1,2,0,1,5,2,6,1
0,3,0,4,0,0,1,0,0,1,8,1,12,1
1,1,0,0,1,2,4,0,3,0,3,4,0,1
1,1,1,5,0,0,4,1,0,1,8,2,5,4
1,1,1,1,1,0,4,1,1,0,3,3,1,2
0,2,0,4,1,0,2,1,1,0,8,1,8,1
1,1,1,4,0,0,3,1,0,1,5,2,4,3
1,1,1,3,0,0,3,1,0,1,3,2,3,3
1,1,1,1,2,2,5,1,4,0,2,2,1,1
0,2,1,3,1,1,2,0,2,0,8,3,6,0
0,3,0,4,0,0,0,0,0,1,8,1,12,0
0,2,0,6,1,1,2,0,2,0,8,1,12,0
1,3,1,3,0,0,0,0,0,1,8,2,9,0
1,2,1,3,1,0,2,0,1,0,8,3,6,1
0,2,0,6,0,0,1,0,0,1,8,5,12,1
1,1,1,4,0,2,4,0,2,0,3,2,4,1
1,1,1,5,1,1,4,1,2,0,5,3,5,1
0,3,0,2,0,0,0,0,0,1,8,1,6,0
0,3,0,3,0,0,0,0,0,1,8,1,9,0
1,2,1,4,0,0,1,2,0,1,8,2,8,1
1,2,1,2,1,1,2,0,2,0,8,3,4,0
0,3,0,3,8,2,3,0,10,0,8,1,9,0
1,1,1,5,0,0,4,1,0,1,3,2,5,4
0,3,0,6,0,0,0,0,0,1,8,1,18,0
1,2,1,5,0,0,1,0,0,1,4,3,10,1
1,3,1,4,1,1,2,0,2,0,8,3,12,0
1,1,1,1,0,1,3,1,1,0,2,2,1,1
1,3,1,5,2,0,2,2,2,0,8,2,15,0
0,1,0,6,0,0,2,0,0,1,3,1,6,2
0,1,0,5,0,1,4,0,1,0,3,1,5,2
0,3,0,1,2,0,2,0,2,0,8,1,3,0
1,1,1,5,1,0,4,0,1,0,8,3,5,2
0,3,0,2,0,0,0,0,0,1,8,1,6,0
0,1,0,4,1,0,3,0,1,0,3,1,4,1
1,1,1,6,0,0,4,1,0,1,5,2,6,4
1,3,0,6,0,0,1,0,0,1,8,1,18,1
0,1,0,6,0,0,3,0,0,1,0,1,6,3
1,2,0,0,1,1,2,0,2,0,6,4,0,0
1,1,1,3,3,2,5,0,5,0,3,2,3,0
0,2,0,4,0,0,1,0,0,1,8,1,8,1
0,2,0,3,0,0,1,0,0,1,8,1,6,1
0,2,0,5,0,0,1,0,0,1,8,1,10,1
1,2,1,3,0,0,1,0,0,1,6,2,6,1
1,2,1,5,0,0,1,0,0,1,8,2,10,1
1,3,1,5,1,0,2,0,1,0,8,3,15,1
1,3,0,0,1,1,2,0,2,0,8,4,0,0
0,3,0,6,0,0,1,0,0,1,8,1,18,1
0,3,0,3,0,0,1,0,0,1,8,1,9,1
0,1,0,3,0,0,3,0,0,1,3,1,3,3
0,3,0,1,1,1,0,1,2,0,8,1,3,0
0,3,0,3,1,0,2,0,1,0,8,1,9,1
0,3,0,2,0,0,0,1,0,1,8,1,6,0
0,3,0,4,0,0,1,0,0,1,8,1,12,1
1,1,1,2,0,1,3,0,1,0,5,2,2,1
0,2,1,5,0,0,1,0,0,1,8,2,10,1
1,3,1,5,0,0,0,2,0,1,8,2,15,0
1,3,1,5,0,0,0,2,0,1,8,2,15,0
0,3,0,5,1,4,2,0,5,0,8,1,15,0
0,2,0,4,1,0,2,1,1,0,8,1,8,1
0,3,1,6,0,1,1,1,1,0,8,3,18,0
0,3,0,5,0,0,0,0,0,1,8,1,15,0
0,3,0,4,1,0,2,2,1,0,8,1,12,1
0,3,0,4,0,0,0,0,0,1,8,1,12,0
1,1,1,6,1,0,3,1,1,0,4,3,6,1
1,3,1,4,0,0,0,1,0,1,8,3,12,0
1,3,1,2,0,0,0,2,0,1,8,2,6,0
1,1,1,3,0,0,3,1,0,1,2,3,3,3
1,1,0,3,1,0,3,1,1,0,5,1,3,1
0,3,0,1,1,0,0,0,1,0,8,1,3,0
0,3,0,2,0,0,1,0,0,1,8,1,6,1
0,1,0,2,0,0,4,1,0,1,8,1,2,4
0,3,1,0,3,1,2,0,4,0,8,2,0,0
1,1,1,4,1,0,3,1,1,0,8,3,4,1
1,3,1,2,0,0,0,0,0,1,8,2,6,0
0,1,0,3,0,2,4,1,2,0,3,1,3,1
0,3,0,2,0,0,0,1,0,1,8,1,6,0
0,3,0,2,0,0,0,0,0,1,8,1,6,0
1,1,1,6,0,0,4,1,0,1,8,2,6,4
1,3,1,0,0,2,2,1,2,0,8,2,0,0
0,3,0,4,0,0,0,0,0,1,8,1,12,0
1,1,1,5,1,0,3,0,1,0,8,3,5,1
0,3,0,4,0,0,0,0,0,1,8,1,12,0
0,2,0,1,0,0,3,0,0,1,8,1,2,3
0,3,0,0,5,2,3,0,7,0,8,4,0,0
1,2,1,5,0,0,1,0,0,1,8,2,10,1
0,3,0,2,0,0,0,2,0,1,8,1,6,0
1,2,1,1,0,0,1,1,0,1,8,2,2,1
1,1,0,5,1,2,4,0,3,0,2,1,5,1
1,3,0,2,0,0,0,0,0,1,8,1,6,0
0,3,0,4,2,0,0,0,2,0,8,1,12,0
1,1,1,3,1,0,4,1,1,0,4,2,3,2
1,3,1,3,0,2,2,0,2,0,7,3,9,0
0,3,0,2,0,0,0,0,0,1,8,1,6,0
0,3,1,4,0,0,0,0,0,1,8,2,12,0
0,2,0,6,0,0,2,0,0,1,8,1,12,2
0,2,0,3,0,0,1,0,0,1,8,5,6,1
1,2,1,4,0,0,1,0,0,1,8,3,8,1
1,3,0,5,0,0,0,0,0,1,8,1,15,0
0,3,0,3,0,0,1,0,0,1,8,1,9,1
0,3,1,2,1,0,1,0,1,0,8,2,6,0
0,3,0,4,1,0,2,0,1,0,8,1,12,1
0,3,1,2,0,0,1,0,0,1,8,2,6,1
0,2,0,5,1,0,2,0,1,0,8,1,10,1
0,3,0,6,0,0,0,0,0,1,8,1,18,0
1,2,0,0,1,1,2,0,2,0,8,4,0,0
0,3,0,2,0,0,0,0,0,1,8,1,6,0
0,3,1,5,3,1,2,0,4,0,8,2,15,0
0,3,0,2,0,0,0,0,0,1,8,1,6,0
0,3,0,5,0,0,0,2,0,1,8,1,15,0
1,1,1,4,1,0,3,2,1,0,3,2,4,1
0,2,0,4,0,0,0,0,0,1,8,1,8,0
1,3,0,6,0,0,0,0,0,1,8,1,18,0
0,3,1,4,0,0,1,0,0,1,8,3,12,1
1,2,1,5,1,1,3,0,2,0,8,3,10,1
1,2,1,1,0,2,1,0,2,0,8,2,2,0
0,2,0,4,0,0,1,0,0,1,8,1,8,1
0,3,1,0,0,2,2,0,2,0,8,2,0,0
0,3,0,6,0,0,0,1,0,1,8,1,18,0
0,3,0,2,0,0,0,2,0,1,8,1,6,0
0,3,0,4,0,0,0,0,0,1,8,1,12,0
0,3,1,4,1,1,1,0,2,0,8,3,12,0
0,3,0,1,1,1,2,0,2,0,8,1,3,0
0,3,0,3,0,0,0,0,0,1,8,1,9,0
1,2,1,4,1,0,2,0,1,0,8,3,8,1
1,2,1,2,0,0,2,0,0,1,8,2,4,2
0,3,0,3,0,0,0,2,0,1,8,1,9,0
1,3,0,4,0,0,1,0,0,1,5,1,12,1
1,1,0,4,0,0,2,0,0,1,3,1,4,2
1,3,1,2,1,0,2,0,1,0,8,3,6,1
1,2,1,6,1,0,2,0,1,0,8,3,12,1
0,3,0,1,0,0,0,0,0,1,8,1,3,0
0,1,0,6,1,0,3,0,1,0,5,1,6,1
1,1,1,1,1,2,4,0,3,0,2,2,1,1
0,3,1,2,2,2,3,0,4,0,8,2,6,0
1,2,1,3,2,3,2,0,5,0,8,3,6,0
0,1,0,6,1,4,5,0,5,0,3,1,6,0
0,2,0,4,0,0,1,0,0,1,8,1,8,1
1,2,1,6,1,1,2,0,2,0,8,3,12,0
0,3,0,2,0,0,1,0,0,1,8,1,6,1
0,3,0,3,1,0,0,0,1,0,8,1,9,0
